商品名称,合约代码,名次,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,期货公司会员简称,成交量,比上交易日增减,
铜                  ,cu1810                        ,19,东兴期货  ,52,38,瑞龙期货  ,100,0,建信期货  ,300,0,
铜                  ,cu1810                        ,20,国富期货  ,49,-20,方正中期  ,98,-8,长江期货  ,291,0,
铜                  ,cu1812                        ,1,建信期货  ,664,664,格林大华  ,8554,0,国贸期货  ,6173,0,
铜                  ,cu1812                        ,2,中信期货  ,390,163,永安期货  ,2054,9,中信期货  ,2470,190,
铜                  ,cu1812                        ,3,铜冠金源  ,258,18,广发期货  ,1365,53,铜冠金源  ,2221,258,
铜                  ,cu1812                        ,4,徽商期货  ,205,108,首创期货  ,760,200,永安期货  ,1543,0,
铜                  ,cu1812                        ,5,首创期货  ,200,198,同信久恒  ,584,-24,中钢期货  ,633,-1,
铜                  ,cu1812                        ,6,海通期货  ,154,-10,银河期货  ,439,-14,中银国际  ,571,-1,
铜                  ,cu1812                        ,7,招金期货  ,135,110,光大期货  ,402,0,金瑞期货  ,547,0,
铜                  ,cu1812                        ,8,上海中期  ,83,-23,中信建投  ,348,0,迈科期货  ,523,4,
铜                  ,cu1812                        ,9,创元期货  ,78,78,东兴期货  ,313,-5,国泰君安  ,298,16,
铜                  ,cu1812                        ,10,广发期货  ,72,-17,招金期货  ,293,-124,国投安信  ,285,10,
铜                  ,cu1812                        ,11,银河期货  ,71,-60,弘业期货  ,287,0,瑞达期货  ,237,-16,
铜                  ,cu1812                        ,12,西部期货  ,64,10,五矿经易  ,141,31,建信期货  ,225,-664,
铜                  ,cu1812                        ,13,同信久恒  ,62,-25,徽商期货  ,140,-159,华泰期货  ,203,0,
铜                  ,cu1812                        ,14,安粮期货  ,53,43,国富期货  ,137,2,东证期货  ,128,-1,
铜                  ,cu1812                        ,15,国富期货  ,48,25,铜冠金源  ,123,0,首创期货  ,121,0,
铜                  ,cu1812                        ,16,五矿经易  ,43,-12,华泰期货  ,114,-11,银河期货  ,93,1,
铜                  ,cu1812                        ,17,中辉期货  ,40,-2,金瑞期货  ,111,0,新湖期货  ,80,0,
铜                  ,cu1812                        ,18,中粮期货  ,38,27,创元期货  ,105,-78,招金期货  ,77,-1,
铜                  ,cu1812                        ,19,中银国际  ,30,-44,中国国际  ,77,0,上海中期  ,70,23,
铜                  ,cu1812                        ,20,大地期货  ,27,1,广州期货  ,52,0,金信期货  ,68,0,
铜                  ,cu1901                        ,1,铜冠金源  ,258,58,格林大华  ,11902,0,国贸期货  ,3320,0,
铜                  ,cu1901                        ,2,中信建投  ,210,104,永安期货  ,2851,0,中信期货  ,2605,41,
铜                  ,cu1901                        ,3,中信期货  ,191,20,徽商期货  ,275,152,铜冠金源  ,1386,258,
铜                  ,cu1901                        ,4,徽商期货  ,158,69,上海中期  ,204,0,方正中期  ,1319,-19,
铜                  ,cu1901                        ,5,招金期货  ,122,19,五矿经易  ,111,47,国泰君安  ,1169,-4,
铜                  ,cu1901                        ,6,中钢期货  ,117,-45,同信久恒  ,100,41,建信期货  ,997,-89,
铜                  ,cu1901                        ,7,安粮期货  ,112,39,金瑞期货  ,66,0,新湖期货  ,790,0,
铜                  ,cu1901                        ,8,五矿经易  ,107,101,弘业期货  ,60,0,华安期货  ,591,0,
铜                  ,cu1901                        ,9,建信期货  ,101,97,安粮期货  ,54,24,广发期货  ,584,-76,
铜                  ,cu1901                        ,10,同信久恒  ,86,-24,招商期货  ,42,0,中银国际  ,524,0,
铜                  ,cu1901                        ,11,广发期货  ,77,29,铜冠金源  ,40,0,同信久恒  ,400,-35,
铜                  ,cu1901                        ,12,海通期货  ,66,28,东证期货  ,30,2,五矿经易  ,348,-4,
铜                  ,cu1901                        ,13,西部期货  ,53,10,华泰期货  ,28,2,瑞达期货  ,276,0,
铜                  ,cu1901                        ,14,兴业期货  ,51,-199,国富期货  ,26,8,永安期货  ,244,-1,
铜                  ,cu1901                        ,15,方正中期  ,31,23,信达期货  ,23,0,安粮期货  ,208,-28,
铜                  ,cu1901                        ,16,银河期货  ,23,-204,建信期货  ,21,-4,东证期货  ,193,2,
铜                  ,cu1901                        ,17,华西期货  ,15,-3,东海期货  ,21,0,国信期货  ,191,-5,
铜                  ,cu1901                        ,18,国泰君安  ,14,5,中钢期货  ,18,-81,国投安信  ,170,0,
铜                  ,cu1901                        ,19,华泰期货  ,13,9,中信建投  ,18,-200,中钢期货  ,149,0,
铜                  ,cu1901                        ,20,国富期货  ,13,-4,国泰君安  ,17,0,华泰期货  ,93,-9,
铝                  ,alall                         ,-1,期货公司  ,280188,66974,期货公司  ,317865,-1499,期货公司  ,317705,-1493,
铝                  ,alall                         ,0,非期货公司,6,-130,非期货公司,725,0,非期货公司,885,-6,
铝                  ,al1806                        ,1,国投安信  ,4442,2772,首创期货  ,6848,-31,中信期货  ,9659,-1197,
铝                  ,al1806                        ,2,上海中期  ,3452,2946,国贸期货  ,6449,-6,中粮期货  ,6508,-94,
铝                  ,al1806                        ,3,国海良时  ,2912,2394,华泰期货  ,3414,104,五矿经易  ,5499,55,
铝                  ,al1806                        ,4,中信期货  ,2271,-124,金瑞期货  ,2934,-350,海通期货  ,4777,-352,
铝                  ,al1806                        ,5,鲁证期货  ,2239,784,中粮期货  ,2918,106,金瑞期货  ,3698,-13,
铝                  ,al1806                        ,6,海通期货  ,1763,721,国信期货  ,2685,4,国贸期货  ,3035,-378,
铝                  ,al1806                        ,7,东证期货  ,1536,-244,广发期货  ,2456,-98,建信期货  ,3014,200,
铝                  ,al1806                        ,8,申万期货  ,1118,599,中信期货  ,1859,-370,格林大华  ,1996,-34,
铝                  ,al1806                        ,9,中银国际  ,1088,323,上海中期  ,1682,-4,华信期货  ,1735,0,
铝                  ,al1806                        ,10,广州期货  ,1072,1069,五矿经易  ,1674,-507,鲁证期货  ,1465,-35,
铝                  ,al1806                        ,11,中辉期货  ,1048,548,银河期货  ,1642,-1,国投安信  ,1365,-1552,
铝                  ,al1806                        ,12,国泰君安  ,995,982,华安期货  ,1421,-5,一德期货  ,1337,8,
